partner,sector,province,district,org_no
"CCM, COSACA, FAMOD, FHI360, IFRC, LFW, MGCAS, MULEIDE, PLAN INTERNATIONAL, PNDH, UNFPA, UNHCR, WVI",Proteção,Sofala,Buzi,13
"FHI360, KUPEDZANA, WVI",Proteção,Sofala,Caia,3
"FHI360, KUPEDZANA, WVI",Proteção,Sofala,Chemba,3
"FHI360, KUPEDZANA",Proteção,Sofala,Cheringoma,2
"FHI360, KUPEDZANA, WVI",Proteção,Sofala,Chibabava,3
"AVSI, CCM, COSACA, FAMBIZANAI, FAMOD, FHI360, GENDER LINKS, ICDP, IFRC, INGC, IOM, KUGARISSICA, KUPEDZANA, LAMBDA, LFW, MGCAS, MULEIDE, NATAN, PGR, PLAN MOZ, PNDH, SAVE THE CHILDREN, SCF, SOPROC, SOS CV, TDH ITALY, UN WOMEN, UNFPA, UNHCR, UNICEF, WFP, WVI",Proteção,Sofala,Cidade Da Beira,32
UNFPA,Proteção,Manica,Cidade De Chimoio,1
"MGCAS, UNFPA, WVI",Proteção,Zambezia,Cidade De Quelimane,3
"MGCAS, UNFPA",Proteção,Tete,Cidade De Tete,2
"CCM, COSACA, FAMBIZANAI, FAMOD, FHI360, IFRC, KUGARISSICA, KUPEDZANA, LAMBDA, LFW, PLAN MOZ, SOS CV",Proteção,Sofala,Dondo,12
WVI,Proteção,Manica,Gondola,1
"CCM, FAMOD, FHI360",Proteção,Sofala,Gorongosa,3
"CCM, FHI360",Proteção,Sofala,Machanga,2
"FHI360, KUPEDZANA",Proteção,Sofala,Maringue,2
"FHI360, KUPEDZANA",Proteção,Sofala,Marromeu,2
WVI,Proteção,Zambezia,Mocuba,1
WVI,Proteção,Zambezia,Mopeia,1
WVI,Proteção,Zambezia,Morrumbala,1
"CCM, FHI360",Proteção,Sofala,Muanza,2
"CCM, COSACA, FAMBIZANAI, FAMOD, FHI360, GENDER LINKS, IFRC, KUGARISSICA, KUPEDZANA, LAMBDA, MGCAS, MULEIDE, PNDH, UN WOMEN, UNFPA, WVI",Proteção,Sofala,Nhamatanda,16
"ICDP, UNICEF, WVI",Proteção,Manica,Sussundenga,3
