sector,province,district,org_no
Segurança Alimentar,Tete,Moatize,2
Segurança Alimentar,Sofala,Nhamatanda,89
Segurança Alimentar,Sofala,Cidade Da Beira,72
Segurança Alimentar,Sofala,Dondo,74
Segurança Alimentar,Sofala,Buzi,90
Segurança Alimentar,Sofala,Chibabava,8
Segurança Alimentar,Sofala,Machanga,7
Segurança Alimentar,Manica,Sussundenga,34
Segurança Alimentar,Manica,n/a,24
Segurança Alimentar,Sofala,Caia,8
Segurança Alimentar,Zambezia,Nicoadala,14
Segurança Alimentar,Sofala,Muanza,8
Segurança Alimentar,Sofala,Chemba,2
Segurança Alimentar,Sofala,Cheringoma,4
Segurança Alimentar,Sofala,Gorongosa,12
Segurança Alimentar,Sofala,Maringue,6
Segurança Alimentar,Sofala,Marromeu,2
Segurança Alimentar,Manica,Barue,2
Segurança Alimentar,Manica,Guro,2
Segurança Alimentar,Manica,Machaze,3
Segurança Alimentar,Manica,Macossa,2
Segurança Alimentar,Manica,Manica,2
Segurança Alimentar,Manica,Mossurize,6
Segurança Alimentar,Tete,Cahora Bassa,2
Segurança Alimentar,Tete,Changara,3
Segurança Alimentar,Tete,Mutarara,5
Segurança Alimentar,Tete,Chifunde,2
Segurança Alimentar,Tete,Chiuta,2
Segurança Alimentar,Tete,Macanga,2
Segurança Alimentar,Tete,Magoe,2
Segurança Alimentar,Tete,Zumbu,2
Segurança Alimentar,Zambezia,Chinde,4
Segurança Alimentar,Zambezia,Gile,2
Segurança Alimentar,Zambezia,Gurue,2
Segurança Alimentar,Zambezia,Ile,4
Segurança Alimentar,Zambezia,Inhassunge,2
Segurança Alimentar,Zambezia,Lugela,7
Segurança Alimentar,Zambezia,Maquival,2
Segurança Alimentar,Zambezia,Milange,4
Segurança Alimentar,Zambezia,Mocuba,3
Segurança Alimentar,Zambezia,Mopeia,2
Segurança Alimentar,Zambezia,Morrumbala,7
Segurança Alimentar,Zambezia,Derre,3
Segurança Alimentar,Zambezia,Namacurra,8
Segurança Alimentar,Zambezia,Namarroi,2
Segurança Alimentar,Zambezia,Pebane,2
Segurança Alimentar,Zambezia,Cidade De Quelimane,3
Segurança Alimentar,Manica,Macate,2
Segurança Alimentar,Tete,Cidade De Tete,7
Segurança Alimentar,Zambezia,Maganja Da Costa,7
Segurança Alimentar,Manica,Gondola,6
Segurança Alimentar,Tete,Angonia,1
