province,country_province,district,people_contacted
Manica,Mozambique > Manica,Barue,120
Sofala,Mozambique > Sofala,Buzi,45
Sofala,Mozambique > Sofala,Caia,108
Sofala,Mozambique > Sofala,Chemba,17
Sofala,Mozambique > Sofala,Cheringoma,39
Sofala,Mozambique > Sofala,Chibabava,76
Sofala,Mozambique > Sofala,Cidade da Beira,1385
Manica,Mozambique > Manica,Cidade de Chimoio,669
Sofala,Mozambique > Sofala,Dondo,270
Manica,Mozambique > Manica,Gondola,241
Sofala,Mozambique > Sofala,Gorongosa,34
Manica,Mozambique > Manica,Guro,131
Sofala,Mozambique > Sofala,Machanga,32
Manica,Mozambique > Manica,Machaze,27
Manica,Mozambique > Manica,Macossa,17
Manica,Mozambique > Manica,Manica,235
Manica,Mozambique > Manica,Majune,1
Sofala,Mozambique > Sofala,Maringue,33
Sofala,Mozambique > Sofala,Marromeu,54
Manica,Mozambique > Manica,Mossurize,28
Sofala,Mozambique > Sofala,Muanza,4
Sofala,Mozambique > Sofala,Nhamatanda,262
Manica,Mozambique > Manica,Sussundenga,52
Manica,Mozambique > Manica,Tambara,9
Manica,Mozambique > Manica,Vanduzi,69
