province,country_province,district,posto,people_contacted
Manica,Mozambique > Manica,Gondola,Amatongas,16
Manica,Mozambique > Manica,Barue,Barue,20
Sofala,Mozambique > Sofala,Buzi,Buzi,34
Manica,Mozambique > Manica,Tambara,Buzua,5
Manica,Mozambique > Manica,Gondola,Cafumpe,29
Sofala,Mozambique > Sofala,Caia,Caia-sede,62
Sofala,Mozambique > Sofala,Maringue,Canxixe,8
Manica,Mozambique > Manica,Barue,Catandica,86
Sofala,Mozambique > Sofala,Chemba,Chemba,9
Sofala,Mozambique > Sofala,Chibabava,Chibabava,16
Manica,Mozambique > Manica,Vanduzi,Chigodore,2
Manica,Mozambique > Manica,Vanduzi,Chimera,1
Sofala,Mozambique > Sofala,Chemba,Chiramba,5
Manica,Mozambique > Manica,Mossurize,Chiurairue,3
Manica,Mozambique > Manica,Barue,Choa,3
Sofala,Mozambique > Sofala,Marromeu,Chupanga,6
Sofala,Mozambique > Sofala,Dondo,Cidade de Dondo,115
Manica,Mozambique > Manica,Manica,Cidade de Manica,137
Manica,Mozambique > Manica,Mossurize,Dacata,7
Sofala,Mozambique > Sofala,Machanga,Divinhe,5
Manica,Mozambique > Manica,Sussundenga,Dombe,12
Manica,Mozambique > Manica,Mossurize,Espungabera,18
Sofala,Mozambique > Sofala,Buzi,Estaquinha,1
Sofala,Mozambique > Sofala,Muanza,Galinha,3
Manica,Mozambique > Manica,Gondola,Gondola,117
Sofala,Mozambique > Sofala,Chibabava,Goonda,19
Sofala,Mozambique > Sofala,Gorongosa,Gorongosa-Sede,25
Manica,Mozambique > Manica,Guro,Guro Sede,76
Manica,Mozambique > Manica,Gondola,Inchope,29
Sofala,Mozambique > Sofala,Cheringoma,Inhaminga,31
Sofala,Mozambique > Sofala,Cheringoma,Inhamitanga,1
Manica,Mozambique > Manica,Gondola,Macate,2
Sofala,Mozambique > Sofala,Machanga,Machanga,21
Manica,Mozambique > Manica,Machaze,Machaze,20
Manica,Mozambique > Manica,Manica,Machipanda,28
Manica,Mozambique > Manica,Macossa,Macossa,9
Sofala,Mozambique > Sofala,Dondo,Mafambisse,113
Sofala,Mozambique > Sofala,Marromeu,Malengapansi,2
Manica,Mozambique > Manica,Guro,Mandie,12
Sofala,Mozambique > Sofala,Maringue,Maringue,15
Sofala,Mozambique > Sofala,Marromeu,Marromeu,32
Manica,Mozambique > Manica,Vanduzi,Matsinho,9
Manica,Mozambique > Manica,Manica,Mavonde,7
Manica,Mozambique > Manica,Manica,Messica,16
Sofala,Mozambique > Sofala,Nhamatanda,Metuchira,18
Sofala,Mozambique > Sofala,Muanza,Muanza,1
Manica,Mozambique > Manica,Manjune,Muaquia,1
Manica,Mozambique > Manica,Sussundenga,Muhoa,3
Sofala,Mozambique > Sofala,Chemba,Mulima,2
Manica,Mozambique > Manica,Guro,Mungari,26
Sofala,Mozambique > Sofala,Caia,Murra̤a,20
Sofala,Mozambique > Sofala,Chibabava,Muxungue,33
Manica,Mozambique > Manica,Tambara,Nhacafula,1
Manica,Mozambique > Manica,Tambara,Nhacolo,3
Sofala,Mozambique > Sofala,Gorongosa,Nhamadzi,3
Manica,Mozambique > Manica,Macossa,Nhamangua,5
Manica,Mozambique > Manica,Guro,Nhamassonge,2
Sofala,Mozambique > Sofala,Nhamatanda,Nhamatanda,91
Manica,Mozambique > Manica,Barue,Nhampassa,10
Sofala,Mozambique > Sofala,Buzi,Nova sofala,3
Manica,Mozambique > Manica,Vanduzi,Pungue sul,3
Manica,Mozambique > Manica,Sussundenga,Rotanda,2
Sofala,Mozambique > Sofala,Dondo,savane,1
Manica,Mozambique > Manica,Machaze,Save,5
Sofala,Mozambique > Sofala,Caia,Sena,18
Sofala,Mozambique > Sofala,Nhamatanda,Siluvo,62
Sofala,Mozambique > Sofala,Maringue,subui,2
Manica,Mozambique > Manica,Sussundenga,Sussundenga,33
Sofala,Mozambique > Sofala,Nhamatanda,Tica,44
Manica,Mozambique > Manica,Cidade de Chimoio,Urbano 1,253
Sofala,Mozambique > Sofala,Cidade da Beira,Urbano 2,239
Manica,Mozambique > Manica,Cidade de Chimoio,Urbano 3,128
Sofala,Mozambique > Sofala,Cidade da Beira,Urbano 4,155
Sofala,Mozambique > Sofala,Cidade da Beira,Urbano 5,161
Sofala,Mozambique > Sofala,Cidade da Beira,Urbano Central,584
Sofala,Mozambique > Sofala,Cidade da Beira,Urbano 6,6
Manica,Mozambique > Manica,Vanduzi,Vanduzi,44
